name                     ,ra         ,dec        
WISEA J043431.62-894617.9,04 34 31.62,-89 46 17.9
WISEA J094017.96-894442.8,09 40 17.96,-89 44 42.8
WISEA J192247.55-893602.5,19 22 47.55,-89 36 02.5
WISEA J174333.00-893514.8,17 43 33.01,-89 35 14.8
WISEA J214955.49-893435.5,21 49 55.50,-89 34 35.6
WISEA J094526.46-893159.0,09 45 26.47,-89 31 59.0
WISEA J212638.23-892859.5,21 26 38.24,-89 28 59.5
WISEA J045305.39-892601.5,04 53 05.40,-89 26 01.6
WISEA J174350.23-892550.8,17 43 50.23,-89 25 50.9
WISEA J005023.03-892532.2,00 50 23.03,-89 25 32.3
WISEA J222301.23-892309.1,22 23 01.24,-89 23 09.1
WISEA J161901.50-892201.9,16 19 01.51,-89 22 01.9
WISEA J180334.09-892201.6,18 03 34.09,-89 22 01.6
WISEA J095358.71-892139.7,09 53 58.71,-89 21 39.8
WISEA J015835.73-892019.8,01 58 35.74,-89 20 19.9
WISEA J044013.91-891855.0,04 40 13.92,-89 18 55.0
WISEA J225659.24-891826.1,22 56 59.25,-89 18 26.2
WISEA J014318.28-891742.3,01 43 18.28,-89 17 42.3
WISEA J143939.75-891725.3,14 39 39.75,-89 17 25.3
WISEA J171637.43-891552.4,17 16 37.43,-89 15 52.4
WISEA J153947.23-891549.4,15 39 47.24,-89 15 49.5
WISEA J133527.43-891437.1,13 35 27.43,-89 14 37.1
WISEA J122148.50-891431.2,12 21 48.51,-89 14 31.3
WISEA J232334.06-891159.3,23 23 34.07,-89 11 59.3
WISEA J213247.49-891140.5,21 32 47.50,-89 11 40.5
WISEA J070143.81-891039.1,07 01 43.81,-89 10 39.2
WISEA J161013.42-891012.2,16 10 13.43,-89 10 12.2
WISEA J022901.56-890908.3,02 29 01.56,-89 09 08.3
WISEA J203030.53-890841.6,20 30 30.54,-89 08 41.7
WISEA J224917.93-890819.0,22 49 17.94,-89 08 19.1
WISEA J231320.96-890753.7,23 13 20.96,-89 07 53.7
WISEA J012938.55-890710.9,01 29 38.55,-89 07 11.0
WISEA J032900.52-890704.0,03 29 00.52,-89 07 04.1
WISEA J072941.57-890703.0,07 29 41.58,-89 07 03.0
WISEA J032224.88-890636.7,03 22 24.88,-89 06 36.7
WISEA J015453.24-890636.4,01 54 53.24,-89 06 36.4
WISEA J184722.20-890621.9,18 47 22.21,-89 06 22.0
WISEA J105913.92-890612.0,10 59 13.92,-89 06 12.0
WISEA J211159.24-890601.4,21 11 59.24,-89 06 01.4
WISEA J041642.01-890527.1,04 16 42.01,-89 05 27.1
WISEA J135147.15-890506.3,13 51 47.16,-89 05 06.4
WISEA J115816.72-890503.9,11 58 16.73,-89 05 03.9
WISEA J163835.56-890436.9,16 38 35.56,-89 04 37.0
WISEA J200526.32-890341.6,20 05 26.32,-89 03 41.7
WISEA J053547.94-890307.9,05 35 47.94,-89 03 07.9
WISEA J191825.82-890305.6,19 18 25.82,-89 03 05.7
WISEA J085422.41-890259.8,08 54 22.42,-89 02 59.8
WISEA J173419.45-890257.4,17 34 19.45,-89 02 57.5
WISEA J171613.50-890241.7,17 16 13.51,-89 02 41.7
WISEA J203215.77-890209.3,20 32 15.78,-89 02 09.3
WISEA J202717.78-890128.3,20 27 17.79,-89 01 28.4
WISEA J051828.74-890042.0,05 18 28.75,-89 00 42.0
WISEA J025828.82-890013.9,02 58 28.82,-89 00 14.0
WISEA J174013.10-885958.1,17 40 13.10,-88 59 58.2
WISEA J003642.89-885933.8,00 36 42.89,-88 59 33.9
WISEA J095514.91-885907.1,09 55 14.92,-88 59 07.2
WISEA J075544.06-885851.6,07 55 44.06,-88 58 51.6
WISEA J175117.92-885834.4,17 51 17.92,-88 58 34.5
WISEA J142838.26-885815.8,14 28 38.26,-88 58 15.9
WISEA J070738.18-885748.6,07 07 38.18,-88 57 48.6
WISEA J142433.77-885632.6,14 24 33.77,-88 56 32.7
WISEA J152904.93-885542.8,15 29 04.94,-88 55 42.9
WISEA J052118.47-885535.8,05 21 18.48,-88 55 35.8
WISEA J123121.04-885514.3,12 31 21.05,-88 55 14.3
WISEA J232000.51-885312.9,23 20 00.52,-88 53 13.0
WISEA J094908.57-885308.6,09 49 08.58,-88 53 08.7
WISEA J202622.04-885249.3,20 26 22.05,-88 52 49.4
WISEA J005625.94-885216.3,00 56 25.95,-88 52 16.3
WISEA J020710.91-885212.7,02 07 10.92,-88 52 12.8
WISEA J192122.06-885151.0,19 21 22.06,-88 51 51.0
WISEA J131937.67-885149.3,13 19 37.67,-88 51 49.4
WISEA J053433.45-885125.5,05 34 33.46,-88 51 25.5
WISEA J041504.88-885115.3,04 15 04.89,-88 51 15.3
WISEA J135227.37-885015.2,13 52 27.37,-88 50 15.2
WISEA J165652.42-885007.6,16 56 52.43,-88 50 07.7
WISEA J155425.24-884855.3,15 54 25.24,-88 48 55.3
WISEA J052656.31-884823.3,05 26 56.31,-88 48 23.4
WISEA J110928.23-884822.7,11 09 28.23,-88 48 22.7
WISEA J081951.20-884738.0,08 19 51.21,-88 47 38.1
WISEA J210609.64-884616.0,21 06 09.64,-88 46 16.1
WISEA J005728.15-884544.3,00 57 28.15,-88 45 44.4
WISEA J030149.69-884543.5,03 01 49.70,-88 45 43.5
WISEA J130854.96-884531.2,13 08 54.96,-88 45 31.3
WISEA J023915.37-884331.8,02 39 15.38,-88 43 31.9
WISEA J001027.69-884315.3,00 10 27.70,-88 43 15.4
WISEA J130833.61-884235.0,13 08 33.62,-88 42 35.1
J172444.09-884210.1      ,17 24 44.09,-88 42 10.1
WISEA J204249.84-884107.5,20 42 49.85,-88 41 07.6
WISEA J204914.51-884038.8,20 49 14.51,-88 40 38.8
WISEA J201039.17-884031.6,20 10 39.18,-88 40 31.7
WISEA J015900.34-884031.0,01 59 00.35,-88 40 31.1
WISEA J071141.17-884011.0,07 11 41.17,-88 40 11.1
WISEA J053829.15-883901.2,05 38 29.15,-88 39 01.3
WISEA J100155.69-883848.1,10 01 55.69,-88 38 48.2
WISEA J071943.33-883823.8,07 19 43.33,-88 38 23.9
WISEA J042452.34-883813.3,04 24 52.34,-88 38 13.4
WISEA J103848.99-883812.5,10 38 49.00,-88 38 12.5
WISEA J062105.64-883806.2,06 21 05.64,-88 38 06.2
WISEA J202443.67-883734.7,20 24 43.67,-88 37 34.7
WISEA J232728.65-883648.8,23 27 28.65,-88 36 48.9
